PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;0.7;3;4;75%;11;14;79%
01Max;0.8;3;4;75%;11;14;79%
01Max;0.9;3;4;75%;11;14;79%
01Max;1.0;3;4;75%;11;14;79%
01Max;1.0;3;4;75%;12;14;86%
01Max;0.6;3;4;75%;12;14;86%
02MaxMin;0.7;7;8;88%;17;21;81%
02MaxMin;0.9;7;8;88%;18;21;86%
02MaxMin;0.9;7;8;88%;18;21;86%
02MaxMin;0.9;7;8;88%;18;21;86%
02MaxMin;1.0;7;8;88%;17;21;81%
02MaxMin;0.6;7;8;88%;18;21;86%
02MaxMin;0.6;7;8;88%;18;21;86%
02MaxMin;0.5;7;8;88%;18;21;86%
02MaxMin;0.4;7;8;88%;18;21;86%
02MaxMin;0.4;7;8;88%;18;21;86%
02MaxMin;0.3;7;8;88%;18;21;86%
02MaxMin;0.3;7;8;88%;18;21;86%
02MaxMin;0.2;7;8;88%;18;21;86%
03MaxMin;0.7;7;8;88%;17;21;81%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.9;7;8;88%;18;21;86%
03MaxMin;1.0;7;8;88%;17;21;81%
03MaxMin;1.0;7;8;88%;18;21;86%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.4;7;8;88%;17;21;81%
03MaxMin;0.2;7;8;88%;17;21;81%
03MaxMin;0.2;7;8;88%;17;21;81%
05Ordenacao;0.7;9;10;90%;16;20;80%
05Ordenacao;0.7;9;10;90%;16;20;80%
05Ordenacao;0.7;9;10;90%;16;20;80%
05Ordenacao;0.8;9;10;90%;16;20;80%
05Ordenacao;0.8;9;10;90%;16;20;80%
05Ordenacao;0.8;9;10;90%;16;20;80%
05Ordenacao;0.9;2;10;20%;3;20;15%
05Ordenacao;0.9;9;10;90%;16;20;80%
05Ordenacao;1.0;9;10;90%;16;20;80%
05Ordenacao;1.0;9;10;90%;16;20;80%
05Ordenacao;1.0;9;10;90%;16;20;80%
05Ordenacao;0.6;9;10;90%;16;20;80%
05Ordenacao;0.6;9;10;90%;16;20;80%
05Ordenacao;0.6;9;10;90%;16;20;80%
05Ordenacao;0.5;9;10;90%;16;20;80%
05Ordenacao;0.5;9;10;90%;16;20;80%
05Ordenacao;0.5;9;10;90%;16;20;80%
05Ordenacao;0.4;9;10;90%;16;20;80%
05Ordenacao;0.4;9;10;90%;16;20;80%
05Ordenacao;0.4;9;10;90%;16;20;80%
05Ordenacao;0.3;9;10;90%;16;20;80%
05Ordenacao;0.3;9;10;90%;16;20;80%
05Ordenacao;0.3;9;10;90%;16;20;80%
05Ordenacao;0.2;9;10;90%;16;20;80%
05Ordenacao;0.2;9;10;90%;16;20;80%
05Ordenacao;0.2;9;10;90%;16;20;80%
05Ordenacao;0.1;9;10;90%;16;20;80%
05Ordenacao;0.1;9;10;90%;16;20;80%
05Ordenacao;0.1;9;10;90%;16;20;80%
